Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
transactionsearching,Chrome 120.0.0.0,,,22-12-2023 16:08:02,22-12-2023 16:09:14,1m - 12.953s,PASSED
,,,,,,,
Test Cases/viewtransaction,Chrome 120.0.0.0,,,22-12-2023 16:08:02,22-12-2023 16:08:18,16.222s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,22-12-2023 16:08:02,22-12-2023 16:08:03,1.592s,PASSED
maximizeWindow(),Chrome 120.0.0.0,,,22-12-2023 16:08:03,22-12-2023 16:08:04,0.146s,PASSED
navigateToUrl(url),Chrome 120.0.0.0,,,22-12-2023 16:08:04,22-12-2023 16:08:05,1.032s,PASSED
"setText(findTestObject(""Object Repository/viewtransaction/input_txtUsername""), username)",Chrome 120.0.0.0,,,22-12-2023 16:08:05,22-12-2023 16:08:06,0.926s,PASSED
"setEncryptedText(findTestObject(""Object Repository/viewtransaction/input_txtPassword""), password)",Chrome 120.0.0.0,,,22-12-2023 16:08:06,22-12-2023 16:08:06,0.365s,PASSED
"click(findTestObject(""Object Repository/viewtransaction/span_Login""))",Chrome 120.0.0.0,,,22-12-2023 16:08:06,22-12-2023 16:08:06,0.317s,PASSED
"doubleClick(findTestObject(""Object Repository/viewtransaction/span_Engineer Test""))",Chrome 120.0.0.0,,,22-12-2023 16:08:06,22-12-2023 16:08:08,2.183s,PASSED
"doubleClick(findTestObject(""Object Repository/viewtransaction/span_Transaction""))",Chrome 120.0.0.0,,,22-12-2023 16:08:08,22-12-2023 16:08:09,0.563s,PASSED
"doubleClick(findTestObject(""Object Repository/viewtransaction/span_View""))",Chrome 120.0.0.0,,,22-12-2023 16:08:09,22-12-2023 16:08:10,0.669s,PASSED
delay(8),Chrome 120.0.0.0,,,22-12-2023 16:08:10,22-12-2023 16:08:18,8.043s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,22-12-2023 16:08:18,22-12-2023 16:08:18,0.154s,PASSED
,,,,,,,
Test Cases/searchtransactionsuccess,Chrome 120.0.0.0,,,22-12-2023 16:08:18,22-12-2023 16:08:46,28.008s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,22-12-2023 16:08:18,22-12-2023 16:08:19,0.921s,PASSED
maximizeWindow(),Chrome 120.0.0.0,,,22-12-2023 16:08:19,22-12-2023 16:08:19,0.136s,PASSED
navigateToUrl(url),Chrome 120.0.0.0,,,22-12-2023 16:08:19,22-12-2023 16:08:20,0.758s,PASSED
"setText(findTestObject(""Object Repository/searchingtransactionsuccess/input_txtUsername""), username)",Chrome 120.0.0.0,,,22-12-2023 16:08:20,22-12-2023 16:08:21,0.900s,PASSED
"setEncryptedText(findTestObject(""Object Repository/searchingtransactionsuccess/input_txtPassword""), password)",Chrome 120.0.0.0,,,22-12-2023 16:08:21,22-12-2023 16:08:21,0.341s,PASSED
"click(findTestObject(""Object Repository/searchingtransactionsuccess/span_Login""))",Chrome 120.0.0.0,,,22-12-2023 16:08:21,22-12-2023 16:08:21,0.300s,PASSED
"doubleClick(findTestObject(""Object Repository/searchingtransactionsuccess/span_Engineer Test""))",Chrome 120.0.0.0,,,22-12-2023 16:08:21,22-12-2023 16:08:23,2.100s,PASSED
"doubleClick(findTestObject(""Object Repository/searchingtransactionsuccess/span_Transaction""))",Chrome 120.0.0.0,,,22-12-2023 16:08:23,22-12-2023 16:08:24,0.657s,PASSED
"doubleClick(findTestObject(""Object Repository/searchingtransactionsuccess/span_View""))",Chrome 120.0.0.0,,,22-12-2023 16:08:24,22-12-2023 16:08:25,0.660s,PASSED
"setText(findTestObject(""Object Repository/searchingtransactionsuccess/input_textfield-1018""), ""Test"")",Chrome 120.0.0.0,Searching by employeeID,,22-12-2023 16:08:25,22-12-2023 16:08:26,1.281s,PASSED
"sendKeys(findTestObject(""searchingtransactionsuccess/input_textfield-1018""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,22-12-2023 16:08:26,22-12-2023 16:08:27,0.467s,PASSED
delay(2),Chrome 120.0.0.0,,,22-12-2023 16:08:27,22-12-2023 16:08:29,2.014s,PASSED
"setText(findTestObject(""Object Repository/searchingtransactionsuccess/input_textfield-1021""), ""Web"")",Chrome 120.0.0.0,Searching by EmployeeName,,22-12-2023 16:08:29,22-12-2023 16:08:29,0.424s,PASSED
"sendKeys(findTestObject(""searchingtransactionsuccess/input_textfield-1021""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,22-12-2023 16:08:29,22-12-2023 16:08:29,0.363s,PASSED
delay(2),Chrome 120.0.0.0,,,22-12-2023 16:08:29,22-12-2023 16:08:31,2.008s,PASSED
"setText(findTestObject(""Object Repository/searchingtransactionsuccess/input_textfield-1026""), ""No"")",Chrome 120.0.0.0,Searching by Is Merried,,22-12-2023 16:08:31,22-12-2023 16:08:32,0.400s,PASSED
"sendKeys(findTestObject(""searchingtransactionsuccess/input_textfield-1026""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,22-12-2023 16:08:32,22-12-2023 16:08:32,0.327s,PASSED
delay(4),Chrome 120.0.0.0,,,22-12-2023 16:08:32,22-12-2023 16:08:36,4.010s,PASSED
