Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
transactionadvance,Chrome 120.0.0.0,,,27-12-2023 07:45:58,27-12-2023 07:46:59,1m - 1.604s,PASSED
,,,,,,,
Test Cases/advancefiltersuccess,Chrome 120.0.0.0,,,27-12-2023 07:45:58,27-12-2023 07:46:38,40.318s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,27-12-2023 07:45:58,27-12-2023 07:46:01,3.188s,PASSED
maximizeWindow(),Chrome 120.0.0.0,,,27-12-2023 07:46:01,27-12-2023 07:46:02,0.439s,PASSED
navigateToUrl(url),Chrome 120.0.0.0,,,27-12-2023 07:46:02,27-12-2023 07:46:09,7.239s,PASSED
"setText(findTestObject(""Object Repository/advancedfiltersuccess/input_txtUsername""), username)",Chrome 120.0.0.0,,,27-12-2023 07:46:09,27-12-2023 07:46:10,0.916s,PASSED
"setEncryptedText(findTestObject(""Object Repository/advancedfiltersuccess/input_txtPassword""), password)",Chrome 120.0.0.0,,,27-12-2023 07:46:10,27-12-2023 07:46:10,0.419s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/a_Login""))",Chrome 120.0.0.0,,,27-12-2023 07:46:10,27-12-2023 07:46:11,0.423s,PASSED
"doubleClick(findTestObject(""Object Repository/advancedfiltersuccess/span_Engineer Test""))",Chrome 120.0.0.0,,,27-12-2023 07:46:11,27-12-2023 07:46:15,4.277s,PASSED
"doubleClick(findTestObject(""Object Repository/advancedfiltersuccess/span_Transaction""))",Chrome 120.0.0.0,,,27-12-2023 07:46:15,27-12-2023 07:46:16,0.580s,PASSED
"doubleClick(findTestObject(""Object Repository/advancedfiltersuccess/span_View""))",Chrome 120.0.0.0,,,27-12-2023 07:46:16,27-12-2023 07:46:16,0.606s,PASSED
delay(2),Chrome 120.0.0.0,,,27-12-2023 07:46:16,27-12-2023 07:46:18,2.041s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/span_Advanced Filter""))",Chrome 120.0.0.0,,,27-12-2023 07:46:18,27-12-2023 07:46:19,0.656s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/divContentPlaceHolder1_AdvancedFilter1_cboF_b58eab""))",Chrome 120.0.0.0,,,27-12-2023 07:46:19,27-12-2023 07:46:20,0.814s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/li_Employee Name""))",Chrome 120.0.0.0,,,27-12-2023 07:46:20,27-12-2023 07:46:20,0.412s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/divContentPlaceHolder1_AdvancedFilter1_cboF_ea7e77""))",Chrome 120.0.0.0,,,27-12-2023 07:46:20,27-12-2023 07:46:21,0.460s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/li_Equal""))",Chrome 120.0.0.0,,,27-12-2023 07:46:21,27-12-2023 07:46:21,0.447s,PASSED
"setText(findTestObject(""Object Repository/advancedfiltersuccess/input_ContentPlaceHolder1_AdvancedFilter1_t_8fd482""), ""EngineerTest1"")",Chrome 120.0.0.0,,,27-12-2023 07:46:21,27-12-2023 07:46:22,0.472s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/span_Add""))",Chrome 120.0.0.0,,,27-12-2023 07:46:22,27-12-2023 07:46:22,0.430s,PASSED
delay(2),Chrome 120.0.0.0,,,27-12-2023 07:46:22,27-12-2023 07:46:24,2.004s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/span_Filter""))",Chrome 120.0.0.0,,,27-12-2023 07:46:24,27-12-2023 07:46:25,0.456s,PASSED
